Tests bloquedos con '#', desbloquee el cual desee evaluar.
Prueba en SeisCuartos con un agente aleatorio.


Simulación de entorno tipo <class '__main__.SeisCuartos'> con el agente tipo <class '__main__.AgenteAleatorio_SeisCuartos'>

   Paso                    Estado                           Acción            Desempeño   
__________________________________________________________________________________________
    57    ['E', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']        ir_Derecha                -77
    58    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']       ir_Izquierda               -78
    59    ['E', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']         limpiar                  -79
    60    ['E', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -82
    61    ['E', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']        ir_Derecha                -82
    62    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -83
    63    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']         limpiar                  -83
    64    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']         limpiar                  -86
    65    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -89
    66    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']         limpiar                  -89
    67    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']         limpiar                  -92
    68    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -95
    69    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']         limpiar                  -95
    70    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -98
    71    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -98
    72    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']         limpiar                  -98
    73    ['F', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']       ir_Izquierda              -101
    74    ['E', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                  -102
    75    ['E', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']       ir_Izquierda              -102
    76    ['D', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']        ir_Derecha               -103
    77    ['E', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                  -104
    78    ['E', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']       ir_Izquierda              -104
    79    ['D', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                  -105
    80    ['D', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']         limpiar                 -105
    81    ['D', 'limpio', 'sucio', 'limpio', 'limpio', 'limpio', 'limpio']         limpiar                 -108
